Problem:    lb_2
Rows:       2960
Columns:    8374 (8372 integer, 8372 binary)
Non-zeros:  33537
Status:     INTEGER OPTIMAL
Objective:  IND = 1016 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 IND                      1016                             
     2 CI1                         0            -0               
     3 CI2[0,1]                   11            -0               
     4 CI2[0,3]                   12            -0               
     5 CI2[0,4]                   15            -0               
     6 CI2[1,0]                   14            -0               
     7 CI2[1,2]                   21            -0               
     8 CI2[1,5]                   13            -0               
     9 CI2[1,8]                    3            -0               
    10 CI2[2,1]                   23            -0               
    11 CI2[2,6]                    8            -0               
    12 CI2[2,8]                   12            -0               
    13 CI2[3,0]                   13            -0               
    14 CI2[3,6]                   11            -0               
    15 CI2[3,7]                    5            -0               
    16 CI2[4,0]                   11            -0               
    17 CI2[4,5]                   25            -0               
    18 CI2[4,6]                   13            -0               
    19 CI2[5,1]                   14            -0               
    20 CI2[5,4]                   22            -0               
    21 CI2[5,6]                   16            -0               
    22 CI2[6,2]                   10            -0               
    23 CI2[6,3]                   12            -0               
    24 CI2[6,4]                   12            -0               
    25 CI2[6,5]                   14            -0               
    26 CI2[6,10]                   0            -0               
    27 CI2[7,3]                    5            -0               
    28 CI2[7,8]                    5            -0               
    29 CI2[7,9]                    5            -0               
    30 CI2[8,1]                    3            -0               
    31 CI2[8,2]                   12            -0               
    32 CI2[8,7]                    5            -0               
    33 CI2[8,11]                   0            -0               
    34 CI2[9,7]                    5            -0               
    35 CI2[9,12]                  12            -0               
    36 CI2[9,13]                  16            -0               
    37 CI2[10,6]                   0            -0               
    38 CI2[10,11]                  9            -0               
    39 CI2[10,12]                  7            -0               
    40 CI2[11,8]                   0            -0               
    41 CI2[11,10]                 10            -0               
    42 CI2[11,13]                  8            -0               
    43 CI2[12,9]                  14            -0               
    44 CI2[12,10]                  6            -0               
    45 CI2[12,13]                 16            -0               
    46 CI2[13,9]                  14            -0               
    47 CI2[13,11]                  9            -0               
    48 CI2[13,12]                 17            -0               
    49 TDS[0,1]                    2             2             = 
    50 TDS[0,2]                    2             2             = 
    51 TDS[0,3]                    2             2             = 
    52 TDS[0,4]                    2             2             = 
    53 TDS[0,5]                    2             2             = 
    54 TDS[0,6]                    2             2             = 
    55 TDS[0,7]                    2             2             = 
    56 TDS[0,8]                    2             2             = 
    57 TDS[0,9]                    2             2             = 
    58 TDS[0,10]                   2             2             = 
    59 TDS[0,11]                   2             2             = 
    60 TDS[0,12]                   2             2             = 
    61 TDS[0,13]                   2             2             = 
    62 TDS[1,0]                    2             2             = 
    63 TDS[1,2]                    2             2             = 
    64 TDS[1,3]                    2             2             = 
    65 TDS[1,4]                    2             2             = 
    66 TDS[1,5]                    2             2             = 
    67 TDS[1,6]                    2             2             = 
    68 TDS[1,7]                    2             2             = 
    69 TDS[1,8]                    2             2             = 
    70 TDS[1,9]                    2             2             = 
    71 TDS[1,10]                   2             2             = 
    72 TDS[1,11]                   2             2             = 
    73 TDS[1,12]                   2             2             = 
    74 TDS[1,13]                   2             2             = 
    75 TDS[2,0]                    2             2             = 
    76 TDS[2,1]                    2             2             = 
    77 TDS[2,3]                    2             2             = 
    78 TDS[2,4]                    2             2             = 
    79 TDS[2,5]                    2             2             = 
    80 TDS[2,6]                    2             2             = 
    81 TDS[2,7]                    2             2             = 
    82 TDS[2,8]                    2             2             = 
    83 TDS[2,9]                    2             2             = 
    84 TDS[2,10]                   2             2             = 
    85 TDS[2,11]                   2             2             = 
    86 TDS[2,12]                   2             2             = 
    87 TDS[2,13]                   2             2             = 
    88 TDS[3,0]                    2             2             = 
    89 TDS[3,1]                    2             2             = 
    90 TDS[3,2]                    2             2             = 
    91 TDS[3,4]                    2             2             = 
    92 TDS[3,5]                    2             2             = 
    93 TDS[3,6]                    2             2             = 
    94 TDS[3,7]                    2             2             = 
    95 TDS[3,8]                    2             2             = 
    96 TDS[3,9]                    2             2             = 
    97 TDS[3,10]                   2             2             = 
    98 TDS[3,11]                   2             2             = 
    99 TDS[3,12]                   2             2             = 
   100 TDS[3,13]                   2             2             = 
   101 TDS[4,0]                    2             2             = 
   102 TDS[4,1]                    2             2             = 
   103 TDS[4,2]                    2             2             = 
   104 TDS[4,3]                    2             2             = 
   105 TDS[4,5]                    2             2             = 
   106 TDS[4,6]                    2             2             = 
   107 TDS[4,7]                    2             2             = 
   108 TDS[4,8]                    2             2             = 
   109 TDS[4,9]                    2             2             = 
   110 TDS[4,10]                   2             2             = 
   111 TDS[4,11]                   2             2             = 
   112 TDS[4,12]                   2             2             = 
   113 TDS[4,13]                   2             2             = 
   114 TDS[5,0]                    2             2             = 
   115 TDS[5,1]                    2             2             = 
   116 TDS[5,2]                    2             2             = 
   117 TDS[5,3]                    2             2             = 
   118 TDS[5,4]                    2             2             = 
   119 TDS[5,6]                    2             2             = 
   120 TDS[5,7]                    2             2             = 
   121 TDS[5,8]                    2             2             = 
   122 TDS[5,9]                    2             2             = 
   123 TDS[5,10]                   2             2             = 
   124 TDS[5,11]                   2             2             = 
   125 TDS[5,12]                   2             2             = 
   126 TDS[5,13]                   2             2             = 
   127 TDS[6,0]                    2             2             = 
   128 TDS[6,1]                    2             2             = 
   129 TDS[6,2]                    2             2             = 
   130 TDS[6,3]                    2             2             = 
   131 TDS[6,4]                    2             2             = 
   132 TDS[6,5]                    2             2             = 
   133 TDS[6,7]                    2             2             = 
   134 TDS[6,8]                    2             2             = 
   135 TDS[6,9]                    2             2             = 
   136 TDS[6,10]                   2             2             = 
   137 TDS[6,11]                   2             2             = 
   138 TDS[6,12]                   2             2             = 
   139 TDS[6,13]                   2             2             = 
   140 TDS[7,0]                    2             2             = 
   141 TDS[7,1]                    2             2             = 
   142 TDS[7,2]                    2             2             = 
   143 TDS[7,3]                    2             2             = 
   144 TDS[7,4]                    2             2             = 
   145 TDS[7,5]                    2             2             = 
   146 TDS[7,6]                    2             2             = 
   147 TDS[7,8]                    2             2             = 
   148 TDS[7,9]                    2             2             = 
   149 TDS[7,10]                   2             2             = 
   150 TDS[7,11]                   2             2             = 
   151 TDS[7,12]                   2             2             = 
   152 TDS[7,13]                   2             2             = 
   153 TDS[8,0]                    2             2             = 
   154 TDS[8,1]                    2             2             = 
   155 TDS[8,2]                    2             2             = 
   156 TDS[8,3]                    2             2             = 
   157 TDS[8,4]                    2             2             = 
   158 TDS[8,5]                    2             2             = 
   159 TDS[8,6]                    2             2             = 
   160 TDS[8,7]                    2             2             = 
   161 TDS[8,9]                    2             2             = 
   162 TDS[8,10]                   2             2             = 
   163 TDS[8,11]                   2             2             = 
   164 TDS[8,12]                   2             2             = 
   165 TDS[8,13]                   2             2             = 
   166 TDS[9,0]                    2             2             = 
   167 TDS[9,1]                    2             2             = 
   168 TDS[9,2]                    2             2             = 
   169 TDS[9,3]                    2             2             = 
   170 TDS[9,4]                    2             2             = 
   171 TDS[9,5]                    2             2             = 
   172 TDS[9,6]                    2             2             = 
   173 TDS[9,7]                    2             2             = 
   174 TDS[9,8]                    2             2             = 
   175 TDS[9,10]                   2             2             = 
   176 TDS[9,11]                   2             2             = 
   177 TDS[9,12]                   2             2             = 
   178 TDS[9,13]                   2             2             = 
   179 TDS[10,0]                   2             2             = 
   180 TDS[10,1]                   2             2             = 
   181 TDS[10,2]                   2             2             = 
   182 TDS[10,3]                   2             2             = 
   183 TDS[10,4]                   2             2             = 
   184 TDS[10,5]                   2             2             = 
